
Ultralytics YOLOv8.0.203 🚀 Python-3.10.9 torch-2.1.0 CPU (Apple M1)
Model summary (fused): 168 layers, 11126358 parameters, 0 gradients, 28.4 GFLOPs
image 1/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0250662J_20220904_carrying_5966_360.png: 384x640 1 gun, 96.5ms
image 2/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0254360L_20220904_carry_0011_80.png: 320x640 (no detections), 65.2ms
image 3/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0254360L_20220904_threat_0003_220.png: 320x640 1 gun, 62.8ms
image 4/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260691A_20220904_carrying_9019_260.png: 384x640 1 gun, 74.9ms
image 5/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260691A_20220904_carrying_9019_300.png: 384x640 2 guns, 75.0ms
image 6/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260691A_20220904_carrying_9019_320.png: 384x640 1 gun, 75.0ms
image 7/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260847X_20220830_threat_0004_80.png: 384x640 (no detections), 70.9ms
image 8/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260847X_20220830_threat_0005_360.png: 384x640 (no detections), 72.5ms
image 9/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0260847X_20220830_threat_0006_280.png: 384x640 (no detections), 73.1ms
image 10/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0261367B_20220902_carrying_3241_220.png: 480x640 1 gun, 101.0ms
image 11/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0261367B_20220902_threat_8953_120.png: 480x640 (no detections), 93.3ms
image 12/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/A0261367B_20220902_threat_9012_180.png: 480x640 (no detections), 91.5ms
image 13/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_100.png: 352x640 (no detections), 70.4ms
image 14/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_120.png: 352x640 2 guns, 73.5ms
image 15/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_140.png: 352x640 (no detections), 71.8ms
image 16/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_160.png: 352x640 (no detections), 71.1ms
image 17/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_180.png: 352x640 (no detections), 73.2ms
image 18/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat2(Yue Junfeng)_200.png: 352x640 (no detections), 69.9ms
image 19/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat3_converted_300.png: 384x640 (no detections), 77.2ms
image 20/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat3_converted_340.png: 384x640 (no detections), 75.1ms
image 21/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat3_converted_360.png: 384x640 (no detections), 75.4ms
image 22/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat3_converted_380.png: 384x640 (no detections), 76.6ms
image 23/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_100.png: 384x640 (no detections), 74.9ms
image 24/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_1000.png: 384x640 (no detections), 73.6ms
image 25/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_1020.png: 384x640 (no detections), 73.3ms
image 26/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_1040.png: 384x640 (no detections), 72.9ms
image 27/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_120.png: 384x640 (no detections), 74.0ms
image 28/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_140.png: 384x640 (no detections), 76.6ms
image 29/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_160.png: 384x640 (no detections), 75.5ms
image 30/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_180.png: 384x640 (no detections), 76.1ms
image 31/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_200.png: 384x640 (no detections), 75.0ms
image 32/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_220.png: 384x640 (no detections), 76.4ms
image 33/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_240.png: 384x640 1 gun, 74.4ms
image 34/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_260.png: 384x640 1 gun, 72.5ms
image 35/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_280.png: 384x640 1 gun, 73.9ms
image 36/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_300.png: 384x640 (no detections), 73.0ms
image 37/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_320.png: 384x640 1 gun, 75.2ms
image 38/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_340.png: 384x640 (no detections), 76.8ms
image 39/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_360.png: 384x640 (no detections), 75.5ms
image 40/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_380.png: 384x640 1 gun, 76.5ms
image 41/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_400.png: 384x640 1 gun, 74.6ms
image 42/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_420.png: 384x640 1 gun, 73.4ms
image 43/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_440.png: 384x640 1 gun, 72.7ms
image 44/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_460.png: 384x640 1 gun, 75.4ms
image 45/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_480.png: 384x640 (no detections), 75.0ms
image 46/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_500.png: 384x640 1 gun, 74.7ms
image 47/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_520.png: 384x640 (no detections), 76.5ms
image 48/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_540.png: 384x640 1 gun, 76.3ms
image 49/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_560.png: 384x640 1 gun, 76.1ms
image 50/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_580.png: 384x640 1 gun, 78.3ms
image 51/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_600.png: 384x640 1 gun, 74.1ms
image 52/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_620.png: 384x640 1 gun, 74.2ms
image 53/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_640.png: 384x640 (no detections), 74.0ms
image 54/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_660.png: 384x640 1 gun, 77.5ms
image 55/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_680.png: 384x640 1 gun, 76.8ms
image 56/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_700.png: 384x640 (no detections), 77.4ms
image 57/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_720.png: 384x640 (no detections), 79.6ms
image 58/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_740.png: 384x640 (no detections), 79.3ms
image 59/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_760.png: 384x640 (no detections), 75.7ms
image 60/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_780.png: 384x640 (no detections), 78.6ms
image 61/652 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/gun/Threat4_converted_80.png: 384x640 1 gun, 75.6ms
