
Ultralytics YOLOv8.0.203 🚀 Python-3.10.9 torch-2.1.0 CPU (Apple M1)
Model summary (fused): 168 layers, 11126358 parameters, 0 gradients, 28.4 GFLOPs
image 1/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_2222_80.png: 384x640 (no detections), 93.8ms
image 2/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_4444_180.png: 384x640 1 gun, 90.2ms
image 3/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_4444_200.png: 384x640 2 guns, 88.9ms
image 4/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_140.png: 384x640 (no detections), 88.6ms
image 5/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_180.png: 384x640 (no detections), 93.9ms
image 6/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_200.png: 384x640 (no detections), 90.4ms
image 7/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_220.png: 384x640 (no detections), 92.6ms
image 8/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_260.png: 384x640 (no detections), 96.4ms
image 9/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0227648U_normal_5555_80.png: 384x640 (no detections), 95.4ms
image 10/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0242121B_20220904_normal_0006_120.png: 576x640 (no detections), 140.1ms
image 11/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0242121B_20220904_normal_0006_160.png: 576x640 (no detections), 140.0ms
image 12/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2475_320.png: 384x640 2 guns, 94.3ms
image 13/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_560.png: 384x640 (no detections), 95.4ms
image 14/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_580.png: 384x640 (no detections), 99.4ms
image 15/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_600.png: 384x640 (no detections), 98.8ms
image 16/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_620.png: 384x640 (no detections), 99.1ms
image 17/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_640.png: 384x640 (no detections), 100.4ms
image 18/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_660.png: 384x640 (no detections), 94.7ms
image 19/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_680.png: 384x640 (no detections), 93.5ms
image 20/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_700.png: 384x640 (no detections), 93.5ms
image 21/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0250662J_20220904_normal_2480_720.png: 384x640 (no detections), 92.2ms
image 22/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_100.png: 640x384 (no detections), 92.3ms
image 23/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_120.png: 640x384 (no detections), 94.0ms
image 24/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_140.png: 640x384 (no detections), 97.4ms
image 25/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_160.png: 640x384 (no detections), 95.6ms
image 26/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_180.png: 640x384 (no detections), 97.7ms
image 27/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_200.png: 640x384 (no detections), 95.4ms
image 28/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_220.png: 640x384 (no detections), 93.9ms
image 29/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_240.png: 640x384 (no detections), 95.3ms
image 30/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_260.png: 640x384 (no detections), 97.4ms
image 31/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_280.png: 640x384 (no detections), 96.0ms
image 32/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_300.png: 640x384 (no detections), 97.1ms
image 33/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_320.png: 640x384 (no detections), 96.3ms
image 34/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_340.png: 640x384 (no detections), 97.6ms
image 35/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_360.png: 640x384 (no detections), 94.1ms
image 36/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_380.png: 640x384 (no detections), 93.7ms
image 37/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_400.png: 640x384 (no detections), 91.6ms
image 38/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0021_80.png: 640x384 (no detections), 90.9ms
image 39/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_100.png: 640x320 (no detections), 80.8ms
image 40/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_120.png: 640x320 (no detections), 82.3ms
image 41/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_140.png: 640x320 (no detections), 81.7ms
image 42/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_160.png: 640x320 (no detections), 85.9ms
image 43/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_180.png: 640x320 (no detections), 84.9ms
image 44/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_200.png: 640x320 (no detections), 87.1ms
image 45/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_220.png: 640x320 (no detections), 90.0ms
image 46/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_240.png: 640x320 (no detections), 86.6ms
image 47/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0022_80.png: 640x320 (no detections), 87.2ms
image 48/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_100.png: 640x480 (no detections), 120.6ms
image 49/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_120.png: 640x480 (no detections), 118.0ms
image 50/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_140.png: 640x480 (no detections), 119.2ms
image 51/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_160.png: 640x480 (no detections), 117.4ms
image 52/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_180.png: 640x480 (no detections), 115.0ms
image 53/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_200.png: 640x480 (no detections), 115.9ms
image 54/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_220.png: 640x480 (no detections), 115.2ms
image 55/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_240.png: 640x480 (no detections), 114.4ms
image 56/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_260.png: 640x480 (no detections), 117.8ms
image 57/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_280.png: 640x480 (no detections), 120.0ms
image 58/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_300.png: 640x480 (no detections), 119.6ms
image 59/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_320.png: 640x480 (no detections), 121.7ms
image 60/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_340.png: 640x480 (no detections), 119.2ms
image 61/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_360.png: 640x480 (no detections), 121.4ms
image 62/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_380.png: 640x480 (no detections), 121.7ms
image 63/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_400.png: 640x480 (no detections), 121.8ms
image 64/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_420.png: 640x480 (no detections), 118.6ms
image 65/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_440.png: 640x480 (no detections), 116.6ms
image 66/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_460.png: 640x480 (no detections), 114.0ms
image 67/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_480.png: 640x480 (no detections), 117.0ms
image 68/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_500.png: 640x480 (no detections), 115.2ms
image 69/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_520.png: 640x480 (no detections), 121.9ms
image 70/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_540.png: 640x480 1 gun, 121.1ms
image 71/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_560.png: 640x480 (no detections), 117.7ms
image 72/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_580.png: 640x480 (no detections), 121.9ms
image 73/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_600.png: 640x480 1 gun, 119.2ms
image 74/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_620.png: 640x480 (no detections), 126.7ms
image 75/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_640.png: 640x480 (no detections), 146.8ms
image 76/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_660.png: 640x480 (no detections), 165.7ms
image 77/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_680.png: 640x480 (no detections), 130.7ms
image 78/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_700.png: 640x480 (no detections), 140.9ms
image 79/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_720.png: 640x480 (no detections), 134.7ms
image 80/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_740.png: 640x480 (no detections), 129.6ms
image 81/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0023_80.png: 640x480 (no detections), 127.1ms
image 82/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_100.png: 320x640 (no detections), 86.7ms
image 83/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_120.png: 320x640 (no detections), 88.1ms
image 84/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_140.png: 320x640 (no detections), 87.4ms
image 85/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_160.png: 320x640 (no detections), 83.5ms
image 86/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_180.png: 320x640 (no detections), 85.7ms
image 87/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_200.png: 320x640 (no detections), 87.0ms
image 88/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_220.png: 320x640 (no detections), 92.3ms
image 89/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_240.png: 320x640 (no detections), 92.5ms
image 90/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_260.png: 320x640 (no detections), 90.0ms
image 91/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_280.png: 320x640 (no detections), 100.8ms
image 92/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_300.png: 320x640 (no detections), 97.9ms
image 93/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_320.png: 320x640 (no detections), 87.6ms
image 94/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_340.png: 320x640 (no detections), 91.4ms
image 95/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_360.png: 320x640 (no detections), 81.8ms
image 96/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_380.png: 320x640 (no detections), 84.6ms
image 97/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_400.png: 320x640 (no detections), 81.7ms
image 98/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_420.png: 320x640 (no detections), 83.0ms
image 99/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_440.png: 320x640 (no detections), 82.4ms
image 100/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_460.png: 320x640 (no detections), 84.1ms
image 101/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_480.png: 320x640 (no detections), 83.5ms
image 102/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_500.png: 320x640 (no detections), 90.4ms
image 103/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_520.png: 320x640 (no detections), 91.8ms
image 104/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_540.png: 320x640 (no detections), 89.2ms
image 105/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_560.png: 320x640 (no detections), 87.9ms
image 106/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_580.png: 320x640 (no detections), 84.4ms
image 107/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_600.png: 320x640 (no detections), 85.3ms
image 108/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_620.png: 320x640 (no detections), 86.9ms
image 109/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0024_80.png: 320x640 (no detections), 86.1ms
image 110/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0025_100.png: 384x640 (no detections), 97.1ms
image 111/1265 /Users/tianze/cs4243_lab/miniproject/jizhuo1105/datasets/test/norm/A0254360L_20220904_normal_0025_120.png: 384x640 (no detections), 99.8ms
